SIC	NAME
----	Total
07--	Agricultural Services, Forestry, Fisheries
0700	Agricultural Services
0710	Soil Preparation Services
0720	Crop Services
0740	Veterinary Services
0750	Animal Services, Except Veterinary
0760	Farm Labor And Management Services
0761	Farm Labor Contractors
0762	Farm Management Services
0780	Landscape And Horticultural Services
0800	Forestry
0900	Fishing, Hunting, And Trapping
098\	AGR Administrative And Auxiliary
10--	Mining
1000	Metal Mining
1010	Iron Ores
1020	Copper Ores
1030	Lead And Zinc Ores
1040	Gold And Silver Ores
1041	Gold Ores
1044	Silver Ores
1050	Bauxite And Other Aluminum Ores
1060	Ferroalloy Ores, Except Vanadium
1080	Metal Mining Services
1090	Miscellaneous Metal Ores
1094	Uranium-Radium-Vanadium Ores
1099	Metal Ores, nec
1100	Anthracite Mining
1112	Anthracite Mining Services
1200	Bituminous Coal And Lignite Mining
1211	Bituminous Coal And Lignite
1213	Bituminous & Lignite Mining Services
1300	Oil And Gas Extraction
1310	Crude Petroleum And Natural Gas
1320	Natural Gas Liquids
1380	Oil And Gas Field Services
1381	Drilling Oil And Gas Wells
1382	Oil And Gas Exploration Services
1389	Oil And Gas Field Services, nec
1400	Nonmetallic Minerals, Except Fuels
1410	Dimension Stone
1420	Crushed And Broken Stone
1422	Crushed And Broken Limestone
1423	Crushed And Broken Granite
1429	Crushed And Broken Stone, nec
1440	Sand And Gravel
1442	Construction Sand And Gravel
1446	Industrial Sand
1450	Clay, Ceramic & Refractory Minerals
1452	Bentonite
1453	Fire Clay
1454	Fuller's Earth
1455	Kaolin And Ball Clay
1459	Clay And Related Minerals, nec
1470	Chemical And Fertilizer Minerals
1472	Barite
1473	Fluorspar
1474	Potash, Soda, And Borate Minerals
1475	Phosphate Rock
1476	Rock Salt
1477	Sulfur
1479	Chemical And Fertilizer Mining, nec
1480	Nonmetallic Minerals Services
1490	Miscellaneous Nonmetallic Minerals
1492	Gypsum
1496	Talc, Soapstone, And Pyrophyllite
1499	Nonmetallic Minerals, nec
149\	MIN Administrative And Auxiliary
15--	Construction
1500	General Building Contractors
1510	General Building Contractors Residencial Bldgs
1530	Operative Builders
1600	Heavy Construction Contractors
1610	Highway And Street Construction
1620	Heavy Construction, Except Highway
1700	Special Trade Contractors
1710	Plumbing, Heating, Air Conditioning
1720	Painting, Paper Hanging, Decorating
1730	Electrical Work
1740	Masonny,Stonework, And Plastering
1741	Masonry And Other Stonework
1742	Plastering, Dry Wall And Insulation
1743	Terrazzo, Tile, Marble, Mosaic Work
1750	Carpentering And Flooring
1751	Carpentering
1752	Floor Laying And Floor Work, nec
1760	Roofing And Sheet Metal Work
1770	Concrete Work
1780	Water Well Drilling
1790	Misc. Special Trade Contractors
1791	Structural Steel Erection
1793	Glass And Glazing Work
1794	Excavating And Foundation Work
1795	Wrecking And Demolition Work
1796	Installing Building Equipment, nec
1799	Special Trade Contractors, nec
179\	CON Administrative And Auxiliary
20--	Manufacturing
2000	Food And Kindred Products
2010	Meat Products
2011	Meat Packing Plants
2013	Sausages And Other Prepared Meats
2016	Poultry Dressing Plants
2017	Poultry And Egg Processing
2020	Dairy Products
2021	Creamery Butter
2022	Cheese, Natural And Processed
2023	Condensed And Evaporated Milk
2024	Ice Cream And Frozen Desserts
2026	Fluid Milk
